Rays,mya
cellular organisms,4250.000000000001
16654,4250.000000000001
Eukaryota,1765.3418838208604
Opisthokonta,1305.8335179487103
Holozoa,994.1680333333304
563254,939.3333333333304
Metazoa,939.3333333333304
Eumetazoa,939.3333333333304
564202,939.3333333333304
Bilateria,850.3327392156834
Deuterostomia,730.3111111111084
Chordata,736.3333333333304
Vertebrata,634.6544213333304
Gnathostomata,486.22776681333045
Chondrichthyes,429.33226851333046
Elasmobranchii,291.3333333333305
Batoidea,232.5866666666635
1994679,232.54333333333048
1994765,215.4433333333305
Myliobatiformes,111.6533333333305
1994933,102.9333333333305
Myliobatidae,56.269999999997204
Mobulinae,38.62444444444161
Mobula,20.978888888886104
