Rose,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.3418838208597
Archaeplastida,1499.0395333333297
16685,1398.9007222222197
Chloroplastida,986.3333333333296
Streptophyta,757.1458473333296
Embryophyta,554.8835853333296
48507,518.4392558333296
Tracheophyta,435.0522522222186
Euphyllophyta,407.9247917948676
Spermatophyta,321.3497333333296
Magnoliophyta,191.2982833333296
Mesangiospermae,158.3333333333296
55894,146.3091085518486
55895,143.0961526666626
eudicotyledons,131.5383427233296
Gunneridae,124.33333333332959
55910,124.33333333332959
Pentapetalae,124.33333333332959
55912,117.33333333332959
55913,117.33333333332959
rosids,117.33333333332959
fabids,117.33333333332959
55916,117.33333333332959
Rosales,88.6987083112
Rosaceae,59.433333333329585
Rosoideae,40.99333333332958
Rosoideae unplaced,40.99333333332958
85019,34.62203333332958
Rosa,16.327133333329584
