Sea cucumbers,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.34188382086
Opisthokonta,1305.8335179487099
Holozoa,994.1680333333298
563254,939.3333333333298
Metazoa,939.3333333333298
Eumetazoa,939.3333333333298
564202,939.3333333333298
Bilateria,850.3327392156829
Deuterostomia,730.311111111108
Echinodermata,645.9999999999968
Eleutherozoa,582.1333333333298
Echinozoa,374.33333333332985
Holothuroidea,281.4302989116219
Aspidochirotacea,249.56473412698085
Aspidochirotida,218.64563888888586
Holothuriidae,258.02699999999686
