Seahorse,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.3418838208595
Opisthokonta,1305.8335179487094
Holozoa,994.1680333333295
563254,939.3333333333295
Metazoa,939.3333333333295
Eumetazoa,939.3333333333295
564202,939.3333333333295
Bilateria,850.3327392156825
Deuterostomia,730.3111111111075
Chordata,736.3333333333295
Vertebrata (1993220),634.6544213333295
Gnathostomata,486.22776681332954
Euteleostomi,432.95528812878456
Actinopterygii,389.9851823333296
Actinopteri,341.7139799999966
Neopterygii,315.3964666666626
Teleostei,287.3333333333296
Osteoglossocephalai,287.3333333333296
Clupeocephala,234.8629783333296
Euteleosteomorpha,229.0132753333296
2050974,229.0132753333296
Neoteleostei,157.3333333333296
Eurypterygia,157.3333333333296
Ctenosquamata,151.3333333333296
Acanthomorphata,151.3333333333296
2050996,151.3333333333296
Euacanthomorphacea,151.3333333333296
Percomorphaceae,151.3333333333296
2050999,142.3333333333296
2051000,142.3333333333296
Syngnathiformes,124.27333333332959
Syngnathoidei,102.7333333333296
Syngnathidae,58.463333333329594
Hippocampus,20.900281862741394
