Sharks,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.34188382086
Opisthokonta,1305.8335179487099
Holozoa,994.1680333333298
563254,939.3333333333298
Metazoa,939.3333333333298
Eumetazoa,939.3333333333298
564202,939.3333333333298
Bilateria,850.3327392156829
Deuterostomia,730.3111111111078
Chordata,736.3333333333298
Vertebrata,634.6544213333298
Gnathostomata,486.2277668133298
Chondrichthyes,429.33226851332984
Elasmobranchii,291.33333333332985
Selachii,291.33333333332985
Galeomorphii,274.33333333332985
Galeoidea,274.33333333332985
