Sheep,mya
cellular organisms,4249.999999999999
16654,4249.999999999999
Eukaryota,1765.3418838208595
Opisthokonta,1305.8335179487094
Holozoa,994.1680333333293
563254,939.3333333333293
Metazoa,939.3333333333293
Eumetazoa,939.3333333333293
564202,939.3333333333293
Bilateria,850.3327392156823
Deuterostomia,730.3111111111073
Chordata,736.3333333333293
Vertebrata,634.6544213333293
Gnathostomata,486.22776681332937
Euteleostomi,432.9552881287844
Sarcopterygii,415.1914372509764
Dipnotetrapodomorpha,415.1914372509764
Tetrapoda,359.0754451696934
Amniota,323.85715666666243
Mammalia,182.52639583332945
Theria,166.99876833332945
Eutheria,108.34299128204746
Boreoeutheria,100.78521379084586
Laurasiatheria,92.76544166666275
2034426,85.20914761904375
2034427,81.72584999999614
Cetartiodactyla,68.14305874999613
2036554,66.83969999999613
2036555,59.65735925925534
Ruminantia,50.430699999996136
Pecora,32.162983333329436
2037538,29.33333333332943
2037539,29.33333333332943
Bovidae,23.11500800793263
Caprinae,14.796029999996131
2037642,13.433333333329431
2037643,13.433333333329431
2037644,13.367955133329431
2037645,8.664073333329432
Ovis,5.745428630948481
