Silkworm,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.34188382086
Opisthokonta,1305.8335179487099
Holozoa,994.1680333333297
563254,939.3333333333297
Metazoa,939.3333333333297
Eumetazoa,939.3333333333297
564202,939.3333333333297
Bilateria,850.3327392156828
Protostomia,747.3333333333297
Ecdysozoa,747.3333333333297
Panarthropoda,747.3333333333297
Arthropoda,673.0005333333297
Mandibulata,646.6913333333297
Pancrustacea,599.3333333333297
Hexapoda,498.4733333333297
673916,436.58333333332973
Insecta,405.33333333332973
Dicondylia,405.33333333332973
Pterygota,405.33333333332973
Neoptera,370.20699166666276
Endopterygota,351.33333333332973
797707,304.6466999999967
1014004,271.2333333333297
1208739,249.72733333332968
Amphiesmenoptera,179.33333333332968
Lepidoptera,179.33333333332968
Glossata,179.33333333332968
Neolepidoptera,164.33005464480468
Heteroneura,179.33333333332968
Ditrysia,141.33333333332968
1258324,141.33333333332968
Obtectomera,124.78156984126666
Bombycoidea,103.12178148211466
Bombyciformes,73.94772762774716
Bombycidae,51.952630649451564
Bombycinae,42.34397899951536
Bombyx,23.574706084652462
