Silverfish,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.3418838208604
Opisthokonta,1305.8335179487103
Holozoa,994.1680333333303
563254,939.3333333333303
Metazoa,939.3333333333303
Eumetazoa,939.3333333333303
564202,939.3333333333303
Bilateria,850.3327392156833
Protostomia,747.3333333333303
Ecdysozoa,747.3333333333303
Panarthropoda,747.3333333333303
Arthropoda,673.0005333333303
Mandibulata,646.6913333333302
Pancrustacea,599.3333333333303
Hexapoda,498.4733333333303
673916,436.5833333333303
Insecta,405.3333333333303
Dicondylia,405.3333333333303
Thysanura,280.23356247761933
Lepismatidae,201.6533333333303
Lepisma,103.8333333333303
Lepisma saccharina,3.3333333333303017
