Snails,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.3418838208595
Opisthokonta,1305.8335179487094
Holozoa,994.1680333333295
563254,939.3333333333295
Metazoa,939.3333333333295
Eumetazoa,939.3333333333295
564202,939.3333333333295
Bilateria,850.3327392156825
Protostomia,747.3333333333295
Lophotrochozoa,579.3333333333295
Mollusca,544.7792269841235
Gastropoda,471.7333333333295
Heterobranchia,407.3333333333295
Euthyneura,319.3333333333295
1828165,319.3333333333295
Panpulmonata,319.3333333333295
1831007,193.8233333333295
1831008,187.33333333332948
1831009,187.33333333332948
Eupulmonata,187.33333333332948
1832374,187.33333333332948
Stylommatophora,187.33333333332948
Sigmurethra,155.69833333332946
Helicoidea,58.563333333329474
Helicidae,43.69533333332947
