Sparrows,mya
cellular organisms,4250.000000000001
16654,4250.000000000001
Eukaryota,1765.3418838208604
Opisthokonta,1305.8335179487103
Holozoa,994.1680333333304
563254,939.3333333333304
Metazoa,939.3333333333304
Eumetazoa,939.3333333333304
564202,939.3333333333304
Bilateria,850.3327392156834
Deuterostomia,730.3111111111084
Chordata,736.3333333333304
Vertebrata,634.6544213333304
Gnathostomata,486.2277668133304
Euteleostomi,432.9552881287854
Sarcopterygii,415.1914372509774
Dipnotetrapodomorpha,415.1914372509774
Tetrapoda,359.0754451696944
Amniota,323.8571566666634
Sauria,281.1099872463734
Testudines + Archosauria group,255.9249070175414
Archosauria,241.67019874999738
Dinosauria,185.49056785139038
Coelurosauria,141.79479513572937
Aves,120.79663696969436
Neognathae,105.60974721794537
2009853,95.23077045640727
2009854,93.14222084761607
2009855,91.13333333333037
2009856,91.13333333333037
2012288,84.50002956409958
Passeriformes,63.42601224603888
Passeroidea,48.53333333333038
2016799,47.70936666666368
2016800,44.53333333333038
2016801,43.48211399999708
2016802,38.43333333333038
2018355,38.43333333333038
Passeridae,31.940168948145182
Passer,11.828324199997041
