Sperm Whale,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.34188382086
Opisthokonta,1305.8335179487099
Holozoa,994.16803333333
563254,939.33333333333
Metazoa,939.33333333333
Eumetazoa,939.33333333333
564202,939.33333333333
Bilateria,850.332739215683
Deuterostomia,730.311111111108
Chordata,736.33333333333
Vertebrata,634.65442133333
Gnathostomata,486.22776681332994
Euteleostomi,432.95528812878496
Sarcopterygii,415.19143725097695
Dipnotetrapodomorpha,415.19143725097695
Tetrapoda,359.0754451696939
Amniota,323.85715666666295
Mammalia,182.52639583332996
Theria,166.99876833332996
Eutheria,108.34299128204798
Boreoeutheria,100.78521379084637
Laurasiatheria,92.76544166666326
2034426,85.20914761904426
2034427,81.72584999999665
Cetartiodactyla,68.14305874999665
2036554,66.83969999999665
2036555,59.657359259255855
2036556,57.17844397849125
Cetacea,36.83333333332995
Odontoceti,36.83333333332995
Physeteridae,29.58014102563765
Physeter,16.456737179483753
