Squirrels,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.34188382086
Opisthokonta,1305.8335179487099
Holozoa,994.16803333333
563254,939.33333333333
Metazoa,939.33333333333
Eumetazoa,939.33333333333
564202,939.33333333333
Bilateria,850.332739215683
Deuterostomia,730.311111111108
Chordata,736.33333333333
Vertebrata,634.65442133333
Gnathostomata,486.22776681333005
Euteleostomi,432.95528812878507
Sarcopterygii,415.19143725097706
Dipnotetrapodomorpha,415.19143725097706
Tetrapoda,359.0754451696941
Amniota,323.8571566666631
Mammalia,182.52639583333013
Theria,166.99876833333013
Eutheria,108.34299128204815
Boreoeutheria,100.78521379084654
Euarchontoglires,94.22883293110795
Glires,87.86745692307375
Rodentia,80.53143264367495
Sciurognathi,80.53143264367495
2027159,77.34541976190155
2030413,66.93731025640706
2030414,55.950643333330156
Sciuridae,41.522833333330155
Sciurinae,26.419999999996858
2030853,14.786666666663457
Sciurini,10.118333333330156
