Strawberry,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.3418838208595
Archaeplastida,1499.0395333333295
16685,1398.9007222222194
Chloroplastida,986.3333333333295
Streptophyta,757.1458473333295
Embryophyta,554.8835853333295
48507,518.4392558333295
Tracheophyta,435.0522522222185
Euphyllophyta,407.9247917948675
Spermatophyta,321.3497333333295
Magnoliophyta,191.2982833333295
Mesangiospermae,158.3333333333295
55894,146.3091085518485
55895,143.0961526666625
eudicotyledons,131.5383427233295
Gunneridae,124.3333333333295
55910,124.3333333333295
Pentapetalae,124.3333333333295
55912,117.3333333333295
55913,117.3333333333295
rosids,117.3333333333295
fabids,117.3333333333295
55916,117.3333333333295
Rosales,88.69870831119991
Rosaceae,59.4333333333295
Rosoideae,40.9933333333295
93151,34.6220333333295
93152,29.3208833333295
Potentilleae,25.369003333329502
Fragariinae,21.3829299999962
Fragaria,12.713333333329501
