Sturgeons,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.34188382086
Opisthokonta,1305.8335179487099
Holozoa,994.1680333333298
563254,939.3333333333298
Metazoa,939.3333333333298
Eumetazoa,939.3333333333298
564202,939.3333333333298
Bilateria,850.3327392156829
Deuterostomia,730.3111111111078
Chordata,736.3333333333298
Vertebrata,634.6544213333298
Gnathostomata,486.2277668133298
Euteleostomi,432.95528812878484
Actinopterygii,389.9851823333298
Actinopteri,341.7139799999968
Acipenseriformes,217.98924814814484
Acipenseroidei,163.33333333332985
Acipenseridae,163.33333333332985
