Toad,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.3418838208604
Opisthokonta,1305.8335179487103
Holozoa,994.1680333333302
563254,939.3333333333302
Metazoa,939.3333333333302
Eumetazoa,939.3333333333302
564202,939.3333333333302
Bilateria,850.3327392156832
Deuterostomia,730.3111111111082
Chordata,736.3333333333302
Vertebrata (1993220),634.6544213333302
Gnathostomata,486.2277668133303
Euteleostomi,432.9552881287853
Sarcopterygii,415.1914372509773
Dipnotetrapodomorpha,415.1914372509773
Tetrapoda,359.0754451696943
Amphibia,327.78554333333034
Batrachia,300.9285833333303
Anura,219.76562891670133
Neobatrachia,159.33182385964633
2044642,150.57633333333033
Hyloidea,150.57633333333033
2044652,129.3333333333303
2044653,105.33333333333032
2044654,81.24580933333031
2047091,70.35794958333031
2047092,68.54998533333031
2047093,61.928191111108106
Bufonidae,39.7885895180148
Bufo,11.188287060603022
Bufo bufo,3.3333333333303017
