Tobacco,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.3418838208597
Archaeplastida,1499.0395333333297
16685,1398.9007222222197
Chloroplastida,986.3333333333296
Streptophyta,757.1458473333296
Embryophyta,554.8835853333296
48507,518.4392558333296
Tracheophyta,435.0522522222186
Euphyllophyta,407.9247917948676
Spermatophyta,321.3497333333296
Magnoliophyta,191.2982833333296
Mesangiospermae,158.3333333333296
55894,146.3091085518486
55895,143.0961526666626
eudicotyledons,131.53834272332958
Gunneridae,124.33333333332958
55910,124.33333333332958
Pentapetalae,124.33333333332958
147703,120.35221133332958
147704,118.99434696060258
147705,117.57880256490859
asterids,116.15861803921159
148257,111.33333333332959
148258,111.33333333332959
lamiids,98.1224811944407
Solanales,89.5333333333296
178384,79.60659583332959
Solanaceae,45.121236633329595
Nicotianoideae,30.918526579890397
Nicotiana,10.199298148144408
