Tulip,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.3418838208602
Archaeplastida,1499.0395333333302
16685,1398.90072222222
Chloroplastida,986.3333333333302
Streptophyta,757.1458473333302
Embryophyta,554.8835853333302
48507,518.4392558333302
Tracheophyta,435.0522522222192
Euphyllophyta,407.92479179486816
Spermatophyta,321.34973333333016
Magnoliophyta,191.29828333333018
Mesangiospermae,158.33333333333016
237140,158.33333333333016
Liliopsida,138.36324829059515
Petrosaviidae,123.47950444444115
242773,123.33333333333015
242774,120.33333333333015
242775,120.10876833333015
Liliales,91.96338483333015
Liliaceae,31.919770769227547
Tulipa,17.62655205127885
