Tuna,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.34188382086
Opisthokonta,1305.8335179487099
Holozoa,994.1680333333298
563254,939.3333333333298
Metazoa,939.3333333333298
Eumetazoa,939.3333333333298
564202,939.3333333333298
Bilateria,850.3327392156829
Deuterostomia,730.3111111111078
Chordata,736.3333333333298
Vertebrata (1993220),634.6544213333299
Gnathostomata,486.2277668133299
Euteleostomi,432.9552881287849
Actinopterygii,389.9851823333299
Actinopteri,341.71397999999687
Neopterygii,315.3964666666629
Teleostei,287.3333333333299
Osteoglossocephalai,287.3333333333299
Clupeocephala,234.8629783333299
Euteleosteomorpha,229.0132753333299
2050974,229.0132753333299
Neoteleostei,157.33333333332988
Eurypterygia,157.33333333332988
Ctenosquamata,151.33333333332988
Acanthomorphata,151.33333333332988
2050996,151.33333333332988
Euacanthomorphacea,151.33333333332988
Percomorphaceae,151.33333333332988
2050999,142.33333333332988
2051000,142.33333333332988
2051001,117.33333333332988
2051002,117.33333333332988
Scombriformes,102.53527777777427
Scombridae,69.82613425925577
Scombrinae,72.33333333332988
2051225,41.73333333332987
Thunnini,37.11333333332986
Thunnus,13.313333333329865
