Turtles,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.34188382086
Opisthokonta,1305.8335179487099
Holozoa,994.16803333333
563254,939.33333333333
Metazoa,939.33333333333
Eumetazoa,939.33333333333
564202,939.33333333333
Bilateria,850.332739215683
Deuterostomia,730.311111111108
Chordata,736.33333333333
Vertebrata (1993220),634.65442133333
Gnathostomata,486.22776681332994
Euteleostomi,432.95528812878496
Sarcopterygii,415.19143725097695
Dipnotetrapodomorpha,415.19143725097695
Tetrapoda,359.075445169694
Amniota,323.857156666663
Sauria,281.109987246373
Testudines + Archosauria group,255.92490701754102
Testudines,206.38111666666302
Pleurodira,129.21285833333002
Chelidae,77.11666666666332
Emydura,40.224999999996726
