Velvet worms,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.3418838208602
Opisthokonta,1305.83351794871
Holozoa,994.1680333333301
563254,939.3333333333301
Metazoa,939.3333333333301
Eumetazoa,939.3333333333301
564202,939.3333333333301
Bilateria,850.3327392156831
Protostomia,747.3333333333301
Ecdysozoa,747.3333333333301
Panarthropoda,747.3333333333301
1783161,747.3333333333301
Onychophora,481.626946402774
Euonychophora,396.71685673015503
Peripatopsidae,157.82676066666303
Opisthopatus,80.58004699999674
