Walnut,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.34188382086
Archaeplastida,1499.03953333333
16685,1398.9007222222199
Chloroplastida,986.33333333333
Streptophyta,757.1458473333299
Embryophyta,554.88358533333
48507,518.43925583333
Tracheophyta,435.05225222221895
Euphyllophyta,407.92479179486793
Spermatophyta,321.34973333332994
Magnoliophyta,191.29828333332995
Mesangiospermae,158.33333333332996
55894,146.30910855184896
55895,143.09615266666293
eudicotyledons,131.53834272332995
Gunneridae,124.33333333332995
55910,124.33333333332995
Pentapetalae,124.33333333332995
55912,117.33333333332995
55913,117.33333333332995
rosids,117.33333333332995
fabids,117.33333333332995
55916,117.33333333332995
55917,97.97571025640684
Fagales,89.59529333332995
82210,73.05072333332994
82211,57.42286333332994
Juglandaceae,42.09555555555214
Juglans,30.233333333329938
