White lotus,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.3418838208604
Archaeplastida,1499.0395333333304
16685,1398.9007222222203
Chloroplastida,986.3333333333303
Streptophyta,757.1458473333303
Embryophyta,554.8835853333303
48507,518.4392558333303
Tracheophyta,435.0522522222193
Euphyllophyta,407.92479179486827
Spermatophyta,321.3497333333303
Magnoliophyta,191.29828333333032
basal Magnoliophyta,191.29828333333032
55702,168.1983333333303
Nymphaeales,127.98463333333031
55717,95.1853333333303
Nymphaeaceae,36.7253868055525
Nymphaea,18.371333333330302
Nymphaea lotus,3.3333333333303017
