Willow,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.3418838208597
Archaeplastida,1499.0395333333297
16685,1398.9007222222197
Chloroplastida,986.3333333333297
Streptophyta,757.1458473333297
Embryophyta,554.8835853333297
48507,518.4392558333298
Tracheophyta,435.0522522222187
Euphyllophyta,407.9247917948677
Spermatophyta,321.3497333333297
Magnoliophyta,191.29828333332972
Mesangiospermae,158.33333333332973
55894,146.30910855184874
55895,143.0961526666627
eudicotyledons,131.53834272332972
Gunneridae,124.33333333332972
55910,124.33333333332972
Pentapetalae,124.33333333332972
55912,117.33333333332972
55913,117.33333333332972
rosids,117.33333333332972
fabids,117.33333333332972
103795,117.33333333332972
103796,101.01031714499642
103797,98.63333333332972
Malpighiales,92.57811638790241
Salicaceae,30.047796464396406
Saliceae,31.333333333329705
Salix,20.276653333329705
