Woodpeckers,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.3418838208595
Opisthokonta,1305.8335179487094
Holozoa,994.1680333333295
563254,939.3333333333295
Metazoa,939.3333333333295
Eumetazoa,939.3333333333295
564202,939.3333333333295
Bilateria,850.3327392156825
Deuterostomia,730.3111111111075
Chordata,736.3333333333295
Vertebrata (1993220),634.6544213333295
Gnathostomata,486.2277668133295
Euteleostomi,432.9552881287845
Sarcopterygii,415.1914372509765
Dipnotetrapodomorpha,415.1914372509765
Tetrapoda,359.07544516969347
Amniota,323.8571566666625
Sauria,281.1099872463725
Testudines + Archosauria group,255.92490701754048
Archosauria,241.67019874999647
Dinosauria,185.49056785138947
Coelurosauria,141.79479513572846
Aves,120.79663696969348
Neognathae,105.60974721794449
2009853,95.23077045640639
2009854,93.14222084761519
2009855,91.13333333332949
2009856,91.13333333332949
2009857,90.13333333332949
2011230,87.20693476190088
2011231,85.53583708332948
2011232,84.07764833332948
2011233,83.33281958332948
2011234,76.08254333332948
Piciformes,46.79311361666278
Picidae,21.664220023805683
