Yew,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.3418838208595
Archaeplastida,1499.0395333333295
16685,1398.9007222222194
Chloroplastida,986.3333333333294
Streptophyta,757.1458473333294
Embryophyta,554.8835853333294
48507,518.4392558333294
Tracheophyta,435.0522522222184
Euphyllophyta,407.92479179486736
Spermatophyta,321.34973333332937
Acrogymnospermae,302.91917294444033
Pinidae,266.7046625640983
54401,222.99913515151133
Cupressales,184.91555933332933
54704,171.33333333332934
Taxaceae,151.50266666666232
Taxus,77.41799999999603
